Usage statistics from between 5:00 and 20:00 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-12-08,5410.0,1283.199999999997,507.4499999999971,1523.0,999.6000000000058,0.31999999999970896,999.2300000000105
2015-12-09,5335.0,1321.0,520.679999999993,1479.6000000000058,974.6999999999971,0.4000000000014552,937.6999999999971
2015-12-10,5082.0,1092.0,553.5599999999977,1468.8999999999942,902.1999999999971,0.46000000000276486,925.3300000000017
2015-12-11,4783.0,1267.0999999999767,478.79999999999563,1435.0,876.3000000000029,0.5,613.3899999999994
2015-12-12,2160.0,455.1000000000058,155.87000000000262,420.70000000001164,443.40000000000873,0.47000000000116415,705.320000000007
2015-12-13,1969.0,489.6000000000058,133.3199999999997,396.20000000001164,422.3000000000029,0.3900000000030559,544.4700000000012
2015-12-14,4659.0,1147.9000000000233,573.6299999999974,1449.6000000000058,970.8999999999942,0.43000000000029104,406.2700000000041
2015-12-15,4492.0,1190.8999999999942,509.0200000000041,1419.0,863.3999999999942,0.3999999999978172,397.3500000000058
2015-12-16,4798.0,1139.2000000000116,520.1399999999994,1416.8000000000175,1010.8000000000029,0.3899999999994179,563.9600000000064
2015-12-17,4750.0,1227.2000000000116,503.76000000000204,1500.3000000000175,949.9000000000087,0.41999999999825377,414.91999999999825
2015-12-18,4611.0,1191.3000000000175,509.2900000000009,1373.0,947.5999999999913,0.4000000000014552,421.49000000000524
2015-12-19,2738.0,606.2999999999884,123.55999999999767,432.30000000001746,583.4000000000087,0.31999999999970896,1022.8300000000017
2015-12-20,2419.0,484.29999999998836,123.91999999999825,372.5,585.0,0.3400000000001455,882.070000000007
2015-12-21,4845.0,1337.3000000000175,509.47000000000116,1412.7999999999884,973.5000000000146,0.42000000000189175,495.570000000007
2015-12-22,4773.0,1079.0,486.9300000000003,1380.1000000000058,904.2000000000116,0.3899999999994179,794.0100000000093
2015-12-23,4698.0,1201.4000000000233,483.5899999999965,1350.8000000000175,899.6000000000058,0.42999999999665306,627.8999999999942
2015-12-24,1695.0,353.3999999999942,125.45999999999185,415.3999999999942,428.5999999999767,0.4000000000014552,386.0
2015-12-25,841.0,264.5,75.61000000000058,189.39999999999418,185.89999999999418,0.2999999999992724,130.1999999999971
2015-12-26,1645.0,598.0999999999767,158.13999999999942,364.5999999999767,402.6000000000058,0.4599999999991269,134.0
2015-12-27,1690.0,626.7000000000116,156.13999999999942,382.20000000001164,406.69999999998254,0.37999999999738066,132.10000000000582
2015-12-28,2666.0,624.7999999999884,324.4499999999971,506.29999999998836,914.2000000000116,0.10000000000218279,335.59999999999127
2015-12-29,2739.0,781.6999999999825,218.1600000000035,491.6000000000058,919.1999999999825,0.07999999999810825,370.0
2015-12-30,2774.0,790.7999999999884,264.52999999999884,468.5,891.9000000000233,0.0,398.6000000000058
2015-12-31,2263.0,676.5,286.2299999999959,418.8999999999942,629.7999999999884,0.3400000000001455,281.5
2016-01-01,2187.0,607.5,256.1399999999994,361.6000000000058,582.1000000000058,0.2599999999983993,408.3999999999942
2016-01-02,2215.0,677.3999999999942,235.95999999999185,362.20000000001164,663.5,0.2999999999992724,306.6999999999971
2016-01-03,2416.0,695.9000000000233,124.08999999999651,361.5,591.5,0.3400000000001455,673.6999999999971
2016-01-04,5444.0,1424.7000000000116,497.9400000000023,1422.1000000000058,1201.6000000000058,0.0,814.5999999999913
2016-01-05,5239.0,1331.4000000000233,475.97000000000116,1369.8999999999942,1196.7999999999884,0.0,875.6000000000058
2016-01-06,5382.0,1399.7999999999884,492.41999999999825,1371.7000000000116,1098.5,0.38000000000101863,992.5
2016-01-07,5227.0,1312.1000000000058,542.4799999999959,1394.5,1116.5999999999767,0.3599999999969441,818.0
2016-01-08,5185.0,1338.6000000000058,464.3000000000029,1311.7000000000116,1032.3999999999942,0.1900000000023283,993.8999999999942
2016-01-09,3079.0,642.3999999999942,118.7899999999936,368.70000000001164,482.0,0.21999999999752617,1506.699999999997
2016-01-10,2465.0,753.3999999999942,124.65999999998894,366.0,410.70000000001164,0.36999999999898137,840.3000000000029
2016-01-11,4881.0,1316.6000000000058,488.9100000000035,1356.7999999999884,1144.5999999999767,0.1500000000014552,527.0999999999913
2016-01-12,5286.0,1382.2000000000116,512.0899999999965,1344.0,1136.2999999999884,0.2000000000007276,868.7000000000116
2016-01-13,5232.0,1124.2999999999884,503.4100000000035,1368.2999999999884,1148.0999999999767,0.07000000000334694,1044.199999999997
2016-01-14,5070.0,1085.8999999999942,507.1200000000099,1332.5,1172.3999999999942,0.13999999999941792,921.3000000000029
2016-01-15,5052.0,1202.7999999999884,458.09000000001106,1371.2000000000116,1026.1000000000058,0.22999999999956344,943.6999999999971
2016-01-16,1990.0,541.8999999999942,145.3799999999901,382.4000000000233,671.0,0.1499999999978172,279.1000000000058
2016-01-17,2230.0,669.6999999999825,148.38999999999942,391.20000000001164,708.7000000000116,0.17000000000189175,348.09999999999127
2016-01-18,2395.0,601.1000000000058,149.32000000000698,386.6000000000058,758.0999999999767,0.030000000002473826,540.3999999999942
2016-01-19,5309.0,1195.8000000000175,480.63000000000466,1359.7999999999884,1195.6000000000058,0.0,1081.8999999999942
2016-01-20,5316.0,1142.6000000000058,478.47000000000116,1362.5,1155.0,0.09999999999854481,1118.199999999997
2016-01-21,5002.0,1056.6999999999825,477.4800000000105,1372.8999999999942,1158.5,0.13000000000101863,898.4000000000087
2016-01-22,4835.0,1154.7000000000116,457.1100000000006,1335.5999999999767,1146.3999999999942,0.09000000000014552,742.9000000000087
2016-01-23,2525.0,599.7000000000116,155.76999999998952,404.70000000001164,786.7000000000116,0.0,618.7000000000116
2016-01-24,2402.0,668.3999999999942,139.25,503.3999999999942,728.0,0.22999999999956344,400.59999999999127
2016-01-25,4793.0,1038.3999999999942,449.3899999999994,1269.8999999999942,1132.1000000000058,0.3500000000021828,899.6999999999971
2016-01-26,4669.0,1146.2000000000116,482.7600000000093,1196.5,972.0,0.4099999999998545,869.3999999999942
2016-01-27,4142.0,1022.0,412.02999999999884,1114.8999999999942,950.2999999999884,0.4500000000007276,629.1000000000058
2016-01-28,4801.0,1094.1999999999825,479.9100000000035,1389.8999999999942,1022.0,0.3899999999994179,764.5999999999767
2016-01-29,4386.0,1012.1000000000058,432.75999999999476,1076.3000000000175,1023.0,0.2999999999992724,780.0
2016-01-30,2500.0,835.3999999999942,125.7100000000064,471.20000000001164,960.6999999999825,0.4499999999970896,147.90000000002328
2016-01-31,2707.0,847.8999999999942,126.19999999999709,446.0,823.7999999999884,0.5,503.0
2016-02-01,4294.0,1045.3000000000175,476.2299999999959,1353.8000000000175,826.1000000000058,10.9900000000016,529.6000000000058
2016-02-02,4811.0,1011.5,466.679999999993,1374.5,957.8000000000175,0.3899999999994179,938.5
2016-02-03,4829.0,1053.7000000000116,517.8899999999994,1414.5,984.7000000000116,0.4099999999998545,781.0
2016-02-04,4267.0,1034.3999999999942,512.9000000000087,1380.9000000000233,764.5,0.4500000000007276,523.0
2016-02-05,2930.0,704.3999999999942,278.20999999999185,693.1000000000058,882.1999999999825,0.08000000000174623,279.20000000001164
2016-02-06,2419.0,413.70000000001164,166.11000000000058,437.0,696.0,0.3400000000001455,738.0999999999767
2016-02-07,2136.0,521.2000000000116,133.7399999999907,388.0,572.8999999999942,0.4099999999998545,547.7999999999884
2016-02-08,2402.0,461.0,164.11999999999534,488.80000000001746,742.3999999999942,0.0,558.3999999999942
2016-02-09,5004.0,1071.2999999999884,466.47000000000116,1382.0999999999767,1121.3999999999942,0.08000000000174623,940.7000000000116
2016-02-10,4876.0,1048.2999999999884,479.38000000000466,1363.1999999999825,1091.9000000000233,0.22999999999956344,811.8000000000175
